Brand Name,Features,Fibers,Types,Length,Code,Item Name,Description,Sales Price,Original Price,Shown Color,Barcode
Shake N Go,Lace Front Wig,100 % Remi Human Hair  ,Deep Wavy,Long,SnG-Freedom-704,Naked Natural 704 Freedom,5inch Deep Lace Part,169.99,299.99,Natural,Natural!650270520953
Shake N Go,Lace Front Wig,100 % Remi Human Hair  ,Body Wavy,Long,SnG-Freedom-702,Naked Natural 702 Freedom,5inch Deep Lace Part,129.99,279.99,Natural,613!650270513108:Natural!650270502867
Shake N Go,Lace Front Wig,100 % Remi Human Hair  ,Wavy,Long,SnG-Freedom-701,Naked Natural 701 Freedom,5inch Deep Lace Part,129.99,279.99,Natural,Natural!650270502850
Shake N Go,Lace Front Wig,100 % Remi Human Hair  ,Wavy,Medium,SnG-Premium-DELILAH,Naked DELIAH,Pemium C-Part,72.99,124.99,OT530,Natural!650270528522:Natural/DK!650270528539:OT30!650270528553:OT530!650270528560
Shake N Go,Lace Front Wig,100 % Remi Human Hair  ,Deep Wavy,Long,SnG-NaturalWW-DWave,Naked Natural Deep Wave,W&W,84.99,159.99,Natural,Natural!650270510763
Shake N Go,Lace Front Wig,100 % Remi Human Hair  ,Deep Wavy,Long,SnG-NaturalWW-DWave30,Naked Natural Deep Wave 30,W&W,229.99,399.99,Natural,Natural!650270513023
Shake N Go,Lace Front Wig,100 % Remi Human Hair  ,Wavy,Long,SnG-NaturalWW-LDeep,Naked Natural Loose Deep  ,W&W,109.99,179.99,Natural,Natural!650270464370
Shake N Go,Lace Front Wig,100 % Remi Human Hair  ,Wavy,Medium,SnG-Premium-ISABELLE,Naked ISABELLE,Pemium Lace Part,69.99,99.99,Natural,Natural!650270495589:Natural/DK!650270495596
Shake N Go,Lace Front Wig,100 % Remi Human Hair  ,Wavy,Long,SnG-Natural-101,Naked Natural 101,Body Wave 26 inch,201.99,399.99,Natural,Natural!650270466213:Natural/DK!650270466220
Shake N Go,Lace Front Wig,100 % Remi Human Hair  ,Deep Wavy,Long,SnG-Natural-301,Naked Natural 301,5inch Part Loose Deep,99.99,175.99,Natural,Natural!650270466237:Natural/DK!650270466244
Shake N Go,Lace Front Wig,100 % Remi Human Hair  ,Loose Curl,Long,SnG-SNatural-201,Naked Super Natural 201,Deep Invisible L-Part,99.99,175.99,Natural,Natural!650270466251
Shake N Go,Lace Front Wig,100 % Remi Human Hair  ,Straight,Medium,SnG-Premium-BRIGIT,Naked BRIGIT,Pemium Lace Part,59.99,92.99,Natural,Natural!821090918620
Shake N Go,Lace Front Wig,100 % Remi Human Hair  ,Wavy,Long,SnG-Premium-NWavy,Naked Natural Wavy,Pemium Lace Front,99.99,179.99,Natural,Natural!821090906399:Natural/DK!821090906405
Shake N Go,Lace Front Wig,100 % Remi Human Hair  ,Wavy,Long,SnG-PremiumLPart-NWavy,Naked Natural Wavy,Pemium L-Part,69.99,119.99,Natural,Natural!821090897765
Shake N Go,Lace Front Wig,100 % Remi Human Hair  ,Body Wavy,Long,SnG-Premium-BWavy,Naked Body Wavy,Deep Invisible L-Part,84.99,149.99,Natural,Natural!821090951108
Shake N Go,Lace Front Wig,100 % Remi Human Hair  ,Straight,Long,SnG-Saga-ARIELLE,Saga ARIELLE,,107.99,149.99,Natural,Natural!821090145705:Natural/DK!821090898755
Shake N Go,Lace Front Wig,100 % Remi Human Hair  ,Wavy,Long,SnG-Saga-CARMENTA,Saga CARMENTA,,129.99,179.99,Natural,Natural!821090898748:Natural/DK!821090145736
Shake N Go,Lace Front Wig,100 % Remi Human Hair  ,Straight,Long,SnG-Saga-CLEOPATRA ,Saga CLEOPATRA LACE 14 inch,,179.99,299.99,1,1!821090917135
Shake N Go,Lace Front Wig,Human Blend,Curly Style,Medium,SnG-Milky-HARMONY110 ,Milky Way HARMINY 110,,24.99,42.99,BO2202,1!821090887629:1B!821090887636:BO2202!821090887698
Shake N Go,Lace Front Wig,Human Blend,Straight,Medium,SnG-Milky-HARMONY111,Milky Way HARMINY 111,,24.99,42.99,SOPHONEYBR,1!821090887742:1B!821090887759.2!821090887766
Shake N Go,Lace Front Wig,Human Blend,Curly Style,Long,SnG-Milky-HARMONY113,Milky Way HARMINY 113,,24.99,42.99,SOPHONEYBR,BO2202!821090888053
Shake N Go,Lace Front Wig,Human Blend,Straight,Long,SnG-Milky-HARMONY114,Milky Way HARMINY 114,,24.99,42.99,,1!821090888107:1B!821090888114:2!821090888121:BO1B627!821090888183:BO1BGRA!821090888190:BO2202!821090888176:BO2203!821090888152:BO2204!821090888169:BO4340!821090888145:SOPCOPPER!821090888206:SOPHONEYBR!821090888213
Shake N Go,Lace Front Wig,Human Blend,Straight,Medium,SnG-Milky-HARMONY115,Milky Way HARMINY 115,,24.99,42.99,SOP43027,1!821090910914:1B!821090910921:2!821090910938:4!821090910945:OP1B30!821090910952:OP430!821090910976:OT530!821090910983:OT99J!821090910990:SOP27GD30!821090911003:SOP43027!821090911010
Shake N Go,Lace Front Wig,Human Blend,Curly Style,Long,SnG-Milky-HARMONY117,Milky Way HARMINY 117,,24.99,42.99,1,1!821090912475:OT530!821090913083:OT99J!821090913090
Shake N Go,Lace Front Wig,Synthetic ,Curly Style,Long,SnG-Freedom-301,Fretress Equl Freedom Lace Part 301,100% Hand Tied,39.99,49.99,1B,1!650270512415:1B!650270512422
Shake N Go,Lace Front Wig,Synthetic ,Curly Style,Long,SnG-Freedom-302,Fretress Equl Freedom Lace Part 302,100% Hand Tied,39.99,49.99,1,1!650270512439:1B!650270512446
Shake N Go,Lace Front Wig,Synthetic ,Wavy,Medium,SnG-Equl-VAL,Fretress Equl VAL,5inch Lace Part,29.99,42.99,1B,1!650270512934:1B!650270512941:2!650270512958:FF1B27!650270512965:FF30GD!650270512972:FF99J130!650270512989:FF99J530!650270512996
Shake N Go,Lace Front Wig,Synthetic ,Straight,Medium,SnG-Equl-BabyHair101,Fretress Equl BABY HAIR 101,,31.99,49.99,1B,1!650270503260:1B!650270503277:2!650270503284:4!650270503291:OT27!650270503307:OT30!650270503314:OT530!650270503321
Shake N Go,Lace Front Wig,Synthetic ,Curly Style,Long,SnG-Equl-BabyHair102,Fretress Equl BABY HAIR 102,,31.99,49.99,,1!650270510305:1B!650270510312:2!650270510329:4!650270510336:OT27!650270510343:OT30!650270510350:OT530!650270510367
Shake N Go,Lace Front Wig,Synthetic ,Wavy,Medium,SnG-Equl-BabyHair103,Fretress Equl BABY HAIR 103,,31.99,49.99,,1!650270519452:1B!650270519476:2!650270519407:4!650270519414:FF1B30!650270519421:FF99J130!650270519469:FFH23033!650270519438:FFH426!650270519773:FFH43026!650270519445
Shake N Go,Lace Front Wig,Synthetic ,Wavy,Long,SnG-Equl-BLW001,Fretress Equl Premium - BLW 001,Braided Edge Frontal,54.99,89.99,2,1!650270519605:1B!650270519612:2!650270519629:FFAMBER!650270519636:FFRUSSET!650270519643:FFWARMBI!650270519650
Shake N Go,Lace Front Wig,Synthetic ,Wavy,Long,SnG-Equl-VANORA,Fretress Equl VANORA,5inch Lace Front,26.99,39.99,,1!650270511913:1B!650270511920:2!650270511937:4!650270511944:FFAMBER!650270511951:FFRUSSET!650270511968:FFWARMBI!650270511975:FF99J530!650270519759
